file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,76,css,0bec4694,jordipham,2025-04-17,00:31:08,-07:00,2025-04-17T00:31:08-07:00,0,0
style.css,77,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,27
style.css,78,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,14
style.css,79,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,11
style.css,80,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,0
style.css,81,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,0
style.css,82,css,dccf2b42,jordipham,2025-04-17,11:53:00,-07:00,2025-04-17T11:53:00-07:00,0,0
style.css,83,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,33
style.css,84,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,5
style.css,85,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,34
style.css,86,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,53
style.css,87,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,53
style.css,88,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,89,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,90,css,ecb7170e,jordipham,2025-04-09,20:18:24,-07:00,2025-04-09T20:18:24-07:00,0,5
style.css,91,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,7
style.css,92,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,19
style.css,93,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,94,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,95,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,6
style.css,96,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,17
style.css,97,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,98,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,0
style.css,99,css,ecb7170e,jordipham,2025-04-09,20:18:24,-07:00,2025-04-09T20:18:24-07:00,0,5
style.css,100,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,8
style.css,101,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,7
style.css,102,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,13
style.css,103,css,ecb7170e,jordipham,2025-04-09,20:18:24,-07:00,2025-04-09T20:18:24-07:00,0,11
style.css,104,css,a788b3d2,jordipham,2025-04-08,20:06:52,-07:00,2025-04-08T20:06:52-07:00,0,22
style.css,105,css,8cc5b825,jordipham,2025-04-09,09:45:06,-07:00,2025-04-09T09:45:06-07:00,0,0
style.css,106,css,8cc5b825,jordipham,2025-04-09,09:45:06,-07:00,2025-04-09T09:45:06-07:00,0,0
style.css,107,css,8cc5b825,jordipham,2025-04-09,09:45:06,-07:00,2025-04-09T09:45:06-07:00,0,29
style.css,108,css,8cc5b825,jordipham,2025-04-09,09:45:06,-07:00,2025-04-09T09:45:06-07:00,0,10
style.css,109,css,ecb7170e,jordipham,2025-04-09,20:18:24,-07:00,2025-04-09T20:18:24-07:00,0,13
